Step 01/76 | Beam Best RMSD: 0.000A | Beam Worst RMSD: 0.000A
Step 02/76 | Beam Best RMSD: 0.005A | Beam Worst RMSD: 0.005A
Step 03/76 | Beam Best RMSD: 0.004A | Beam Worst RMSD: 0.004A
Step 04/76 | Beam Best RMSD: 0.082A | Beam Worst RMSD: 0.100A
Step 05/76 | Beam Best RMSD: 0.083A | Beam Worst RMSD: 0.090A
Step 06/76 | Beam Best RMSD: 0.093A | Beam Worst RMSD: 0.115A
Step 07/76 | Beam Best RMSD: 0.096A | Beam Worst RMSD: 0.105A
Step 08/76 | Beam Best RMSD: 0.105A | Beam Worst RMSD: 0.121A
Step 09/76 | Beam Best RMSD: 0.106A | Beam Worst RMSD: 0.119A
Step 10/76 | Beam Best RMSD: 0.111A | Beam Worst RMSD: 0.121A
Step 11/76 | Beam Best RMSD: 0.120A | Beam Worst RMSD: 0.135A
Step 12/76 | Beam Best RMSD: 0.122A | Beam Worst RMSD: 0.139A
Step 13/76 | Beam Best RMSD: 0.129A | Beam Worst RMSD: 0.140A
Step 14/76 | Beam Best RMSD: 0.135A | Beam Worst RMSD: 0.144A
Step 15/76 | Beam Best RMSD: 0.142A | Beam Worst RMSD: 0.151A
Step 16/76 | Beam Best RMSD: 0.147A | Beam Worst RMSD: 0.152A
Step 17/76 | Beam Best RMSD: 0.146A | Beam Worst RMSD: 0.154A
Step 18/76 | Beam Best RMSD: 0.225A | Beam Worst RMSD: 0.232A
Step 19/76 | Beam Best RMSD: 0.224A | Beam Worst RMSD: 0.232A
Step 20/76 | Beam Best RMSD: 0.228A | Beam Worst RMSD: 0.238A
Step 21/76 | Beam Best RMSD: 0.226A | Beam Worst RMSD: 0.237A
Step 22/76 | Beam Best RMSD: 0.233A | Beam Worst RMSD: 0.234A
Step 23/76 | Beam Best RMSD: 0.232A | Beam Worst RMSD: 0.236A
Step 24/76 | Beam Best RMSD: 0.235A | Beam Worst RMSD: 0.247A
Step 25/76 | Beam Best RMSD: 0.252A | Beam Worst RMSD: 0.254A
Step 26/76 | Beam Best RMSD: 0.252A | Beam Worst RMSD: 0.255A
Step 27/76 | Beam Best RMSD: 0.256A | Beam Worst RMSD: 0.272A
Step 28/76 | Beam Best RMSD: 0.254A | Beam Worst RMSD: 0.265A
Step 29/76 | Beam Best RMSD: 0.260A | Beam Worst RMSD: 0.267A
Step 30/76 | Beam Best RMSD: 0.271A | Beam Worst RMSD: 0.275A
Step 31/76 | Beam Best RMSD: 0.279A | Beam Worst RMSD: 0.294A
Step 32/76 | Beam Best RMSD: 0.297A | Beam Worst RMSD: 0.308A
Step 33/76 | Beam Best RMSD: 0.322A | Beam Worst RMSD: 0.332A
Step 34/76 | Beam Best RMSD: 0.333A | Beam Worst RMSD: 0.338A
Step 35/76 | Beam Best RMSD: 0.335A | Beam Worst RMSD: 0.340A
Step 36/76 | Beam Best RMSD: 0.336A | Beam Worst RMSD: 0.338A
Step 37/76 | Beam Best RMSD: 0.335A | Beam Worst RMSD: 0.336A
Step 38/76 | Beam Best RMSD: 0.331A | Beam Worst RMSD: 0.333A
Step 39/76 | Beam Best RMSD: 0.328A | Beam Worst RMSD: 0.330A
Step 40/76 | Beam Best RMSD: 0.340A | Beam Worst RMSD: 0.346A
Step 41/76 | Beam Best RMSD: 0.339A | Beam Worst RMSD: 0.343A
Step 42/76 | Beam Best RMSD: 0.335A | Beam Worst RMSD: 0.338A
Step 43/76 | Beam Best RMSD: 0.333A | Beam Worst RMSD: 0.334A
Step 44/76 | Beam Best RMSD: 0.330A | Beam Worst RMSD: 0.331A
Step 45/76 | Beam Best RMSD: 0.327A | Beam Worst RMSD: 0.328A
Step 46/76 | Beam Best RMSD: 0.326A | Beam Worst RMSD: 0.327A
Step 47/76 | Beam Best RMSD: 0.323A | Beam Worst RMSD: 0.324A
Step 48/76 | Beam Best RMSD: 0.320A | Beam Worst RMSD: 0.323A
Step 49/76 | Beam Best RMSD: 0.318A | Beam Worst RMSD: 0.319A
Step 50/76 | Beam Best RMSD: 0.316A | Beam Worst RMSD: 0.317A
Step 51/76 | Beam Best RMSD: 0.315A | Beam Worst RMSD: 0.317A
Step 52/76 | Beam Best RMSD: 0.313A | Beam Worst RMSD: 0.316A
Step 53/76 | Beam Best RMSD: 0.311A | Beam Worst RMSD: 0.313A
Step 54/76 | Beam Best RMSD: 0.310A | Beam Worst RMSD: 0.311A
Step 55/76 | Beam Best RMSD: 0.308A | Beam Worst RMSD: 0.309A
Step 56/76 | Beam Best RMSD: 0.306A | Beam Worst RMSD: 0.307A
Step 57/76 | Beam Best RMSD: 0.315A | Beam Worst RMSD: 0.324A
Step 58/76 | Beam Best RMSD: 0.322A | Beam Worst RMSD: 0.326A
Step 59/76 | Beam Best RMSD: 0.332A | Beam Worst RMSD: 0.336A
Step 60/76 | Beam Best RMSD: 0.350A | Beam Worst RMSD: 0.353A
Step 61/76 | Beam Best RMSD: 0.348A | Beam Worst RMSD: 0.350A
Step 62/76 | Beam Best RMSD: 0.349A | Beam Worst RMSD: 0.350A
Step 63/76 | Beam Best RMSD: 0.347A | Beam Worst RMSD: 0.348A
Step 64/76 | Beam Best RMSD: 0.345A | Beam Worst RMSD: 0.346A
Step 65/76 | Beam Best RMSD: 0.344A | Beam Worst RMSD: 0.345A
Step 66/76 | Beam Best RMSD: 0.342A | Beam Worst RMSD: 0.343A
Step 67/76 | Beam Best RMSD: 0.342A | Beam Worst RMSD: 0.343A
Step 68/76 | Beam Best RMSD: 0.340A | Beam Worst RMSD: 0.341A
Step 69/76 | Beam Best RMSD: 0.339A | Beam Worst RMSD: 0.340A
Step 70/76 | Beam Best RMSD: 0.337A | Beam Worst RMSD: 0.338A
Step 71/76 | Beam Best RMSD: 0.335A | Beam Worst RMSD: 0.337A
Step 72/76 | Beam Best RMSD: 0.334A | Beam Worst RMSD: 0.334A
Step 73/76 | Beam Best RMSD: 0.332A | Beam Worst RMSD: 0.332A
Step 74/76 | Beam Best RMSD: 0.330A | Beam Worst RMSD: 0.330A
Step 75/76 | Beam Best RMSD: 0.328A | Beam Worst RMSD: 0.329A
Step 76/76 | Beam Best RMSD: 0.326A | Beam Worst RMSD: 0.327A

Beam Search Complete. Best sequence: [19, 31, 408, 18, 189, 115, 168, 177, 184, 391, 312, 55, 454, 125, 506, 544, 119, 116, 295, 209, 103, 498, 271, 251, 130, 180, 130, 178, 179, 154, 156, 132, 83, 84, 404, 54, 561, 443, 131, 131, 192, 79, 451, 92, 93, 396, 490, 191, 174, 7, 452, 222, 210, 18, 240, 132, 132, 156, 107, 470, 187, 144, 219, 295, 385, 54, 454, 148, 520, 165, 193, 36, 336, 83, 70, 0]
Final Full TM-score: 0.9891 | dRMSD: 0.261A
